"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Machine Learning Engineer","United States","2024-04-09","SN Cloud Solutions","Location: Remote

Duration: Contract

(Position is opend for only US location)

Job Description


 * Join our team to redefine the landscape of financial services through the lens of Risk Intelligence Innovation. We're looking for a Data Scientist who is ready to dive into the dynamic fields of digital identity, and fraud. Your role will be crucial in shaping the future of these areas.
 * We are searching for a candidate who is not only passionate about risk intelligence but also brings a wealth of experience in managing complex, large-scale projects. Your role will involve collaboration with both internal and external stakeholders, demanding a high level of proficiency in communication and teamwork.
 * You will report directly to the Director of Data Science and play a key role in guiding the development of ML and AI technology within the organization.
 * Your responsibilities will include the analysis of complex datasets, designing algorithms and models to detect and prevent financial crimes, and contributing to the design of ML, AI and Data infrastructure in line with LSEG Risk Intelligence' objectives.
 * Your expertise in Data Science and ML and AI related technologies will be pivotal in steering the direction of our development efforts.
 * This role is not just a job, but a journey into the future of risk intelligence, where your skills and insights will contribute significantly to our innovative endeavors.
 * About You – experience, education, skills, and accomplishments
 * Advanced degree in Computer Science, Statistics, Technology, or Engineering, or equivalent work experience.
 * Minimum 5 years of industry experience with 5 years of proven track record in the application of AI, ML, and NLP.
 * Excellent programming skills (Python, Java, and R)
 * Good communication & presentation skills: connecting people, gathering data & information across business unit boundaries, and telling & selling the story are no problem for you.
   
   

It would be great if you have. . ..


 * Excellent understanding of Data Science Theory, LLMs, ML, NLP, and statistical methodologies in a data analytics environment.
 * Ability to test ideas and adapt methods quickly end to end from data extraction to implementation and validation.
 * Experience with search engines, web scraping, data classification algorithms, recommendation systems, and relevance evaluation methodologies
 * What will you be doing in this role?
 * Researches and identifies Artificial Intelligence (AI), Large Language Models (LLMs) and Machine Learning (ML) methods and algorithms to solve specific problems within Risk Intelligence
 * Implements these methods and devises appropriate test plans to validate and compare the different approaches.
 * Identifies new applications of AI, LLMs, and ML in the context of our extensive sets of content and data.
 * Explores existing data for insights and recommends additional sources of data for improvements.
   
   

About The Team


 * This is a new Data Science innovation team within the Risk Intelligence Engineering function.
 * Our engineers use Machine Learning to solve problems along the entire Lifecycle of Innovation, with a strong focus on new capabilities and approaches to existing problems.
 * Algorithms to detect fraud, predicting risk and outcomes are just a few of the ways our team is fostering productivity of our customers who lead innovation in the world.
 * We are a global team reporting into the Head of Risk Intelligence in the US. The team culture is all about openness & collaboration with a focus on excellence and value adding innovation. We have a tradition of also being a source of innovation ourselves, based on deep domain knowledge, so being creative and entrepreneurial is very much encouraged.","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","IT Services and IT Consulting"
"Machine Learning Engineer","United States","2024-05-22","Movable Ink","Movable Ink scales content personalization for marketers through data-activated content generation and AI decisioning. The world’s most innovative brands rely on Movable Ink to maximize revenue, simplify workflow and boost marketing agility. Headquartered in New York City with close to 600 employees, Movable Ink serves its global client base with operations throughout North America, Central America, Europe, Australia, and Japan.

As a Machine Learning Engineer, you will be part of our Applied AI and Machine Learning team. You will work alongside other scientists and engineers in a collaborative environment, contributing features and machine learning models to our core recommender systems and our DaVinci Personalization product. This is an opportunity to work end-to-end on a large-scale machine-learning system that touches millions of customers, and a chance to continuously learn and help improve our solution as the field evolves.

Responsibilities:


 * Generate insights into customer behavior and derive modeling ideas for improving our content recommender system
 * Work with data engineers to define what additional customer data we might want to collect and help make it available in a format suitable for modeling purposes
 * Create meaningful machine-learning features that improve our content recommender’s performance measured through offline metrics and online a/b tests
 * Build machine learning models and deploy them as part of our recommender system
   
   
   

Qualifications:


 * Master’s degree or equivalent experience (2+ years) in a relevant field or industry
 * Solid understanding of machine learning fundamentals
 * High comfort level in Python or other programming language
 * Familiarity with an ML stack such as typical scientific Python libraries (pandas, numpy, sklearn, xgboost) or deep learning frameworks (we use Pytorch)
 * Familiarity with data analysis through SQL or a big-data processing framework such as Spark
 * Ability to collaborate with technical partners – you’ll be working closely with other teams to determine requirements for your work and to make design decisions that affect our stack
 * The idea of writing and deploying production code, and getting real-world feedback on your models excites you
 * A desire to always be learning and contributing to a collaborative environment
   
   
   

The base pay range for this position is $160,000-180,000 USD/year, which can include additional on-target commission pay/bonus. The base pay offered may vary depending on job-related knowledge, skills, and experience. Stock options and other incentive pay may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, depending on the position ultimately offered.

Studies have shown that women, communities of color, and historically underrepresented people are less likely to apply to jobs unless they meet every single qualification. We are committed to building a diverse and inclusive culture where all Inkers can thrive. If you’re excited about the role but don’t meet all of the abovementioned qualifications, we encourage you to apply. Our differences bring a breadth of knowledge and perspectives that makes us collectively stronger.

We welcome and employ people regardless of race, color, gender identity or expression, religion, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, ethnicity, family or marital status, physical and mental ability, political affiliation, disability, Veteran status, or other protected characteristics. We are proud to be an equal opportunity employer.","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"Machine Learning Engineer","Chicago, IL","2023-12-07","Steneral Consulting","Onsite hybrid role, must be local

Need Valid LinkedIn

Need GC Copy (Front + Back) and Photo ID for USC ( no info must be hidden/blacked out as they wont be considered)

Possible CTH role

Must Have


 * “Applying the latest techniques and approaches across the domains of data science, machine learning, and AI isn’t just a nice to have, it’s a must.”
 * Python, SQL, PySpark, Docker
 * DevOps and CI/CD concepts
 * AWS cloud services
 * 5+ years of implementing software product solutions in a cloud environment with a focus on algorithmic/machine learning products
   
   

Duties And Responsibilities


 * Partner with data scientists to design workflows/architectures that activate ML models and maximize their impact, such as real-time streaming use-cases and offline batch optimizations.
 * Partner with data scientists to develop prototype solutions of algorithmic products leveraging appropriate AWS services with appropriate consideration for scale and latency where applicable.
 * Implement and productionize final solutions via infrastructure-as-code pattern.
 * Implement data processing workflows to enhance our Feature Store with impactful data including appropriate data cleansing/imputation logic.
 * Enhance existing algorithmic products architecture/workflow as needed to maximize impact of the algorithmic product.
 * Partner with data engineering team to ensure data science data needs are being delivered in the appropriate format/cadence required for maximum impact.
 * Stay up to date with latest design patterns and AWS services with respect to Machine Learning Engineering.
 * Partner with data architecture, data governance, and security team to ensure solutions meet required standards.
 * The ideal candidate demonstrates a commitment to Hyatt core values: respect, integrity, humility, empathy, creativity, and fun.
   
   

Experience And Qualifications


 * 5+ years of implementing software product solutions in a cloud environment with a focus on algorithmic/machine learning products, hospitality experience not required
 * Expertise in AWS cloud services
 * Expertise in Python, SQL, PySpark, Docker
 * Experience with streaming and batch data architectures at scale
 * Experience operating in an Agile Methodology environment.
 * Experience with DevOps and CI/CD concepts
 * Excellent communication and teamwork skills
 * Position will not require customer-facing interactions.
   
   

Education


 * Master’s degree in computer science, software engineering, or related fields required","137 applicants","Contract","Entry level","Engineering and Information Technology","Hospitality"
"Data Scientist","Dallas, TX","2024-05-17","Ascendion","About Ascendion

Ascendion is a full-service digital engineering solutions company. We make and manage software platforms and products that power growth and deliver captivating experiences to consumers and employees. Our engineering, cloud, data, experience design, and talent solution capabilities accelerate transformation and impact for enterprise clients. Headquartered in New Jersey, our workforce of 6,000+ Ascenders delivers solutions from around the globe. Ascendion is built differently to engineer the next. Ascendion | Engineering to elevate life

We have a culture built on opportunity, inclusion, and a spirit of partnership. Come, change the world with us:




 * Build the coolest tech for world’s leading brands
 * Solve complex problems – and learn new skills
 * Experience the power of transforming digital engineering for Fortune 500 clients
 * Master your craft with leading training programs and hands-on experience




Experience a community of change-makers!

Join a culture of high-performing innovators with endless ideas and a passion for tech. Our culture is the fabric of our company, and it is what makes us unique and diverse. The way we share ideas, learning, experiences, successes, and joy allows everyone to be their best at Ascendion.

About the Role:




Job Title: Data Scientist




Key Responsibilities:

 * Translate business problems into actionable solutions using analytical/technical expertise.
 * Lead and automate analytical projects to meet client requirements.
 * Perform ETL tasks and data analyses using statistical models/algorithms in Python.
 * Build statistical models with data mining and machine learning techniques.
 * Ensure coding standards are followed, guiding the team as needed.
 * Integrate multiple systems and data sources to create usable data sets for analytics.




Minimum Qualifications:

 * Python for data science, visualization, and automation.
 * Python packages like Pandas, Scikit-learn, Seaborn, Numpy, Plotly.
 * Advanced SQL or similar language.
 * Expertise in ML algorithms: Classification, Clustering, Time Series Forecasting, NLP using Spacy, NLTK.
 * Master’s/Bachelor’s degree in Statistics, Economics, Mathematics, or B.Tech in Computer Science/IT.




Desired Qualifications:

 * Proven project leadership and timely delivery.
 * Experience managing large databases and data structures, with strong data transformation and validation skills.
 * Strong collaboration, multitasking, attention to detail, problem-solving, and critical thinking skills.
 * Ability to work in a matrix environment with both structured and unstructured data.




Location: Dallas, TX




Salary Range: The salary for this position is between $120,000 – $130,000 annually. Factors which may affect pay within this range may include geography/market, skills, education, experience, and other qualifications of the successful candidate.




Benefits: The Company offers the following benefits for this position, subject to applicable eligibility requirements: [medical insurance] [dental insurance] [vision insurance] [401(k) retirement plan] [long-term disability insurance] [short-term disability insurance] [5 personal days accrued each calendar year. The Paid time off benefits meet the paid sick and safe time laws that pertains to the City/ State] [10-15 days of paid vacation time] [6 paid holidays and 1 floating holiday per calendar year] [Ascendion Learning Management System]




Want to change the world? Let us know.




Tell us about your experiences, education, and ambitions. Bring your knowledge, unique viewpoint, and creativity to the table. Let’s talk!","Over 200 applicants","Full-time","Mid-Senior level","Information Technology and Engineering","Banking and Financial Services"
"Machine Learning Engineer","San Marino, CA","2024-05-25","HackerPulse","Showcase your software engineering talents using ML-powered profiles. Loved by 11k+ engineers! Backed by Antler.

The Role

You Will Be Responsible For


 * Developing scripts to process structured and unstructured data.
 * Recommending, developing and implementing ways to improve data reliability, efficiency and quality.
 * Supporting translation of data business needs into technical system requirements.
 * Working with stakeholders to understand needs in order with respect to data structure, availability, scalability and accessibility.
 * Developing high-quality code to build and deploy machine learning models.
   
   

Ideal Profile


 * You possess a degree in Computer Science, Applied Mathematics, Engineering or related field.
 * You have at least 1 year experience, ideally within a Data Engineer role.
 * Demonstrated experience working with large and complex data sets as well as experience analyzing volumes of data.
 * You are a strong networker & relationship builder
 * You pay strong attention to detail and deliver work that is of a high standard
 * You are a self-starter and demonstrate a high level of resilience
   
   

What's on Offer?


 * Great work environment
 * Excellent career development opportunities
 * Leadership Role","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"ML Engineer","Austin, TX","2024-05-31","Jesica.ai","About

Jesica is revolutionizing the recruitment industry by transforming candidate screening & sourcing. Through comprehensive conversations, Jesica assesses candidates' career paths, skills, and aspirations to identify the most qualified individuals for the hiring manager's review and potential interview.

Responsibilities


 * Collaborate with relevant stakeholders to gather user requirements for specific features.
 * Assist in identifying dependencies and contribute to the development of design documents for a product area with minimal supervision.
 * Code implementation for products, services, or features, with a focus on code reuse where applicable.
 * Participate in efforts to decompose large work items into smaller tasks and provide accurate estimations.
   
   

Requirements


 * Bachelor of Computer Science or related field
 * 3+ years of experience in building and maintaining reliable and scalable services/platforms
 * Solid technical expertise in coding languages such as C, C++, C#, Java, or Python
 * Experience working on production-scale distributed systems
 * Proven experience in developing Machine Learning/Deep Learning systems
 * Strong problem-solving and critical thinking skills
 * Adaptability to evolving technologies and project requirements
 * Attention to detail in all aspects of work
 * Effective communication skills to collaborate with team members and stakeholders
 * Ability to thrive in a performance-based and customer-centric work culture
   
   

Benefits

Comprehensive Health Care Flex work schedules Competitive Pay","Be among the first 25 applicants","Full-time","Entry level","Engineering and Information Technology","Technology, Information and Internet"
"ML Research Engineer","New York, NY","2024-04-29","Unreal Staffing, Inc","About The Role

Are you a PyTorch aficionado with a knack for translating deep learning theory into practical PyTorch implementations? We're seeking a PyTorch expert to join us at the forefront of computer vision research and development. As part of our founding team, you'll dive headfirst into cutting-edge deep learning techniques, shaping the future of computer vision foundation models.

What You'll Do


 * Translate complex deep learning concepts into efficient PyTorch code, pushing the boundaries of computer vision
 * Dive into the forefront of deep learning research, tackling daring and technically complex challenges
 * Work closely with the founding team, contributing to the development of groundbreaking solutions
 * Embrace a fast-paced, dynamic environment where innovation thrives and new ideas are welcomed
 * If you have an ear for music, consider it a bonus - we're building something where creativity knows no bounds
   
   
   

Requirements

Requirements


 * Strong proficiency in PyTorch, with a deep understanding of its inner workings
 * Demonstrated ability to implement advanced deep learning algorithms in PyTorch
 * Passion for pushing the boundaries of what's possible in deep learning, with a hunger for tackling complex challenges
 * Ability to thrive in a fast-paced, startup environment, where every day brings new opportunities and challenges
 * Bonus points if you can groove to the music - creativity and innovation are at the heart of what we do
   
   
   

Benefits


 * Competitive salary package, commensurate with experience
 * Equity options to align your success with the company's growth
 * Opportunity to work on groundbreaking projects at the forefront of deep learning research
 * Flexible working hours and a dynamic, supportive team environment
 * Access to cutting-edge tools and resources to fuel your innovation
 * Unlimited opportunities for personal and professional growth in a fast-paced startup environment
   
   
   

Salary Range: $100,000 - $140,000 per year","Be among the first 25 applicants","Full-time","Mid-Senior level","Engineering","Non-profit Organizations and Primary and Secondary Education"
"ML Engineer","United States","2024-05-23","Prime Vector Consulting Services LLC","Job Title: ML Engineer

Work Location: Remote

Candidate is required to be onsite just for Interview at Dallas TX.


 * Required 10+ years of experience.
 * Design, implement, and optimize machine learning algorithms and models.– Neural networks (Graph neural network), Deep learning & transformers (Temporal Fusion Transformer ), NLP, gradient boosting using open source machine learning frameworks – tensorflow, pytorch, XGBoost, LightbGM
 * Enable functionality to support analysis, model optimization, statistical testing, model versioning, deployment and monitoring of model and data.
 * Ability to translate functionality into scalable, tested, and configurable platform architecture and software.
 * Establish strong software engineering principles for development in Python on the Azure Kubernetes Platform.
 * Strong ownership of deliverables, with design decisions aligned to scale and industry best practices.
 * Collaborate with cross-functional teams to align ML initiatives with overall business goals.Implement scalable and efficient machine learning systems. Collaborate with software engineers to integrate ML models into production systems.
 * Work closely with data engineers to ensure the availability and quality of data for training and evaluation of machine learning models.
 * Develop strategies for deploying machine learning models at scale. Ensure models are integrated into production systems with high reliability and performance.
 * Design and conduct experiments to evaluate the performance of machine learning models. Iterate on models based on feedback and evolving business requirements.
 * Python and SQL Hands-on Coding experience
   
   

**We are an Equal Opportunity Employer**

https://primevcs.com/jobs","Over 200 applicants","Contract","Mid-Senior level","Engineering and Information Technology","IT Services and IT Consulting"
"Deep Learning Performance Engineer","San Francisco, CA","2024-05-22","Anyscale","About Anyscale:



At Anyscale, we're on a mission to democratize distributed computing and make it accessible to software developers of all skill levels. We’re commercializing Ray, a popular open-source project that's creating an ecosystem of libraries for scalable machine learning. Companies like OpenAI, Uber, Spotify, Instacart, Cruise, and many more, have Ray in their tech stacks to accelerate the progress of AI applications out into the real world.



With Anyscale, we’re building the best place to run Ray, so that any developer or data scientist can scale an ML application from their laptop to the cluster without needing to be a distributed systems expert.



Proud to be backed by Andreessen Horowitz, NEA, and Addition with $250+ million raised to date.



Anyscale is based in San Francisco, CA. Employees are required to come in office 3x a week.




About the role:



As a Deep Learning Performance Engineer, you will help build systems and optimizations that push the boundaries of performance across cutting edge ML models. This is an incredibly critical role to Anyscale as it allows us to provide market leading performance and price point for AI infrastructure. 






As part of this role, you will:
 * Iterate very quickly with product teams to ship the latest optimizations to Anyscale platform, Anyscale Endpoints, and various open source offerings.
 * Work closely with research teams on LLM engines like vLLM, TensorRT-LLM
 * Follow the latest state-of-the-art in the open source and the research community, implementing and extending best practices 




We'd love to hear from you if you have:
 * Prior experience working on GPUs / CUDA 
 * Solid understanding of operating systems and/or networking fundamentals and experience in such optimizations
 * Familiarity with deep learning and deep learning frameworks (e.g. PyTorch)




Bonus points!
 * ML Systems knowledge
 * Experience training deep learning models
 * Contributions to deep learning frameworks (PyTorch, TensorFlow)
 * Contributions to deep learning compilers (Triton, TVM, MLIR)
 * Experience using Ray




Compensation
 * At Anyscale, we take a market-based approach to compensation. We are data-driven, transparent, and consistent. The target salary for this role is $170,112 ~ $237,000. As the market data changes over time, the target salary for this role may be adjusted.

This role is also eligible to participate in Anyscale's Equity and Benefits offerings, including the following:
 * Stock Options
 * Healthcare plans, with premiums covered by Anyscale at 99%
 * 401k Retirement Plan
 * Wellness stipend
 * Education stipend
 * Paid Parental Leave
 * Flexible Time Off
 * Commute reimbursement
 * 100% of in-office meals covered







Anyscale Inc. is an Equal Opportunity Employer. Candidates are evaluated without regard to age, race, color, religion, sex, disability, national origin, sexual orientation, veteran status, or any other characteristic protected by federal or state law. 



Anyscale Inc. is an E-Verify company and you may review the Notice of E-Verify Participation and the Right to Work posters in English and Spanish","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"Software Engineer - AI/ML","New York, NY","2024-03-24","Artian AI","Artian is an AI tech startup focused on developing the next-gen platform for enterprise AI workflows. Our founders and early team members have deep expertise in AI/ML and in building and deploying robust agent-based workflows and multi-agent systems in mission-critical enterprises (at Google, Nest, IBM, Morgan Stanley, JPMorgan Chase, Bank of America, Knight Capital, etc.). We are excited about the initial applications in financial services, but our platform is inherently agnostic to industry verticals. Learn more about us at https://artian.ai.

We are looking for an experienced AI/ML Engineer to accelerate the development of our innovative AI platform. Candidates must have deep expertise in Python, PyTorch, sklearn, embeddings, vector databases, graph databases, LLM APIs (i.e., OpenAI, Claude, Gemini, Llama, Mistral, etc.), LLM prompt engineering, LLM fine tuning, ML model hyperparameter tuning, and paradigms like RAG and ReAct/CoT/ToT. As part of a small cross-functional team, you will be working across components and services. Experience at a successful startup is a nice-to-have.

The opportunity that lays ahead of us is immediate, concrete and very large, which makes it incredibly exciting for us to build the Artian Platform and to deploy it to customer use cases. We hope to convey our enthusiasm to you and we look forward to hearing about how you can help drive our journey!

Requirements:


 * Master's (MS) or Doctorate (PhD) in Computer Science, Engineering or related field
 * Solid understanding of CS fundamentals including algorithms and data structures
 * Experience with data processing (big data, event streams, relational databases, etc.)
 * Work experience in a team environment at a startup, fintech or larger tech company
   
   ","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Technology, Information and Internet"
"AI/ML Engineer(Hybrid/Remote)","Raleigh, NC","2024-04-04","SmartIPlace","Role: AI/ML Engineer

Visa: GC USC EAD- need visa selfie .

Location: Hybrid 5 days a month - Raleigh / Durham , NC / West Lake TX

Skills


 * Proficiency in machine learning algorithms and model evaluation.
 * Expertise in NLP with text normalization and feature extraction from text.
 * Ability to manage large datasets using Oracle, SQL, AWS Redshift, and Snowflake.
 * Strong in Python for ML development, data analysis, and API creation.
 * Knowledgeable in Docker and Kubernetes for model deployment.
 * Ethically conscious about ML implications and data privacy.
   
   

Tech Stack:-


 * Machine learning algorithms
 * NLP techniques
 * Database management with Oracle, SQL, AWS Redshift, and Snowflake
 * Python programming
 * Docker and Kubernetes for model deployment
 * Ethical considerations in ML applications.","109 applicants","Full-time","Mid-Senior level","Engineering and Information Technology","Information Technology & Services"
"Machine Learning Engineer","Los Angeles, CA","2024-04-28","Two Dots","This is a full-time in-person role in Los Angeles. Specifically the office is in Venice Beach, a live/work space that was a former Snapchat office with a full kitchen, separated from the sand by a sidewalk.

We are a small team looking for ML engineers who will be given wide latitude to architect systems and solve hard problems.\ \ The core problems we are looking to solve primarily have to do with “Document AI”, which is a subset of NLP and Computer Vision that deals with extracting structured information from documents so that information can be used to automate or partially automate our business processes. This is a core part of what we do and is extremely important to the business, so your ability to generate huge impact that is financially measurable will be significant in this role.","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Software Development"
"Machine Learning Engineer, NLP","Chicago, IL","2024-04-09","Attadale Partners","Attadale is a Chicago-based consultancy with patents in advanced speech analytics, and we are expanding our ML team, especially within financial services and healthcare. We seek candidates with demonstrated success training and developing LLMs in a production setting - delivering meaningful results leveraging modern capabilities, preferably Microsoft platforms. You will have demonstrated experience with the following responsibilities


 * Analyze and model unstructured data using advanced statistical methods and implement algorithms and software needed to perform analyses
 * Demonstrate your mastery of ML and NLP to automate complex decision models and build data pipelines, including leveraging unstructured data and interpreting model results for end users
 * Ability to perform the following core domain skills:
    * natural language (NLP) models within Generative AI / LLMs
    * General ML engineering skills such as texting mining, and statistical analysis methods, such as classification, association rules, sentiment analysis, topic modeling, time-series analysis, statistical inference, and validation methods

 * Work on data and business problems to drive improved business results through designing, building, and partnering to implement models
 * Collaborate with business and technical stakeholders to scope business problems and solution frameworks in a way that facilitates buy-in and commitment
 * Ability to communicate complex models and methods to non-technical staff and business leads
   
   

Requirements

Attadale would like to hear from candidates who can demonstrate their ability to deliver real world results, and the capabilities and aptitude to inject as much value into this role as expected, and who ideally have:


 * 2-4 years experience as a ML Engineer
 * College degree in a related field with a strong mathematical background and ability to understand algorithms and methods from both mathematical and intuitive viewpoints
 * Proficiency in Python for both quantitative analysis and data engineering, and at least one NLP toolkit such as Spacy, OpenNLP, CoreNLP, gensim, NLTK, etc.""
 * Familiarity with neural net architectures, and developing models using tools such as Tensorflow or PyTorch
 * Experience with Microsoft Cognitive services and Gen AI platforms, preferably with MS Proficiency certificates
 * Excellent written and oral English communication skills
 * Must be legally authorized to work in the United States without employer sponsorship of a VISA such as F1, OPT, and H1B status. Attadale will not sponsor employment authorization for this role.
   
   
   

Benefits

Attadale serves some of the most sophisticated and successful companies in the world. We are at the forefront of Machine Learning solutions that influence tangible business outcomes. Our clients engage Attadale because our work drives change that increases profitability and improves decision support, all while delighting employees and customers. In addition to being challenged, Attadale offers competitive salaries commensurate with experience, performance bonus, generous paid time off, BCBS healthcare, 401(k) matching, profit sharing, dependent care accounts, and other benefits. However, more importantly, you will be mentored by experienced staff to help you fulfill your career aspirations and goals. We offer a great work/life balance, collegial team mates, and interesting work to stretch your skills and capabilities.","96 applicants","Full-time","Associate","Information Technology","Non-profit Organizations and Primary and Secondary Education"
"ML Research Engineer","New York, NY","2024-04-29","Unreal Staffing, Inc","About The Role

Are you a PyTorch aficionado with a knack for translating deep learning theory into practical PyTorch implementations? We're seeking a PyTorch expert to join us at the forefront of computer vision research and development. As part of our founding team, you'll dive headfirst into cutting-edge deep learning techniques, shaping the future of computer vision foundation models.

What You'll Do


 * Translate complex deep learning concepts into efficient PyTorch code, pushing the boundaries of computer vision
 * Dive into the forefront of deep learning research, tackling daring and technically complex challenges
 * Work closely with the founding team, contributing to the development of groundbreaking solutions
 * Embrace a fast-paced, dynamic environment where innovation thrives and new ideas are welcomed
 * If you have an ear for music, consider it a bonus - we're building something where creativity knows no bounds
   
   
   

Requirements

Requirements


 * Strong proficiency in PyTorch, with a deep understanding of its inner workings
 * Demonstrated ability to implement advanced deep learning algorithms in PyTorch
 * Passion for pushing the boundaries of what's possible in deep learning, with a hunger for tackling complex challenges
 * Ability to thrive in a fast-paced, startup environment, where every day brings new opportunities and challenges
 * Bonus points if you can groove to the music - creativity and innovation are at the heart of what we do
   
   
   

Benefits


 * Competitive salary package, commensurate with experience
 * Equity options to align your success with the company's growth
 * Opportunity to work on groundbreaking projects at the forefront of deep learning research
 * Flexible working hours and a dynamic, supportive team environment
 * Access to cutting-edge tools and resources to fuel your innovation
 * Unlimited opportunities for personal and professional growth in a fast-paced startup environment
   
   
   

Salary Range: $100,000 - $140,000 per year","56 applicants","Full-time","Mid-Senior level","Engineering","Non-profit Organizations and Primary and Secondary Education"
"Machine Learning Engineer","Denver, CO","2024-05-21","Proof","We're Proof, a fast-growing startup in the legal tech industry. Our best-in-class legal services platform is used by thousands of law firms throughout the US, and we've recently raised our Series B from top-tier investors. We're looking for a talented Machine Learning Engineer to join our world-class team and drive the application of AI and ML to make our operations more efficient. This is an exciting opportunity to be the first Data Scientist at a rapidly scaling company and work closely with our CTO and VP of Product.

At Proof, we believe in the power of experimentation and data-driven decision making. While we don't see AI as a silver bullet, we are convinced that our unique position in the legal industry provides us with a real use case where this technology can drive immense business value and become our competitive advantage. Our extensive dataset of legal documents and deep understanding of the legal domain puts us in a prime position to harness AI and ML to streamline our operations and provide unparalleled service to our clients.

As our first Data Scientist, you will have the opportunity to shape our AI strategy from the ground up. You will work on complex problems, influence the tools and techniques that we use each day, and see the direct impact of your work on our business and customers. If you're excited about applying your skills to real-world challenges and being at the forefront of AI innovation and application in the legal industry, this is the perfect role for you.

What you'll do:


 * Develop and optimize NLP, NER, and classification models to automatically extract information from legal documents, reducing manual transcription.
 * Collaborate with engineering to build data pipelines and deploy, monitor, and maintain ML models into our production environments using tools such as Jupyter Notebook, Docker, and Kubernetes.
 * Conduct statistical analysis, including descriptive statistics and predictive modeling, on our business data to generate actionable insights and guide pricing experiments using tools like Pandas, NumPy, and Scikit-Learn.
 * Perform outlier analysis to identify and handle anomalies in our datasets, ensuring data quality and model robustness.
 * Create informative data visualizations to communicate complex findings and aid in decision-making processes using libraries like Matplotlib, Seaborn, and Plotly.
 * Utilize probabilistic graphical models and Bayesian statistical modeling techniques where appropriate to model uncertainty and make probabilistic predictions.
 * Fine-tune and adapt existing ML models for our specific use cases, balancing performance and cost-effectiveness.
 * Maintain and optimize our data warehouse and ETL pipelines to ensure data quality and availability (we use Airbyte and BigQuery).
 * Stay updated with the latest advancements in ML and data science research, applying relevant techniques to enhance our solutions.
   
   

What we'll expect you to know on day one:


 * 3+ years of professional experience working in data science, machine learning, or a related field.
 * Strong proficiency in Python and experience with relevant NLP & deep learning libraries (e.g. TensorFlow, PyTorch, spaCy).
 * Solid understanding of ML techniques and experience with tasks like information extraction and document/text classification.
 * Ability to perform descriptive and predictive statistical analysis, outlier analysis, and data visualizations using tools like SQL, Spark, and Hadoop.
 * Experience with development and deployment tools such as Git, Jenkins, and AWS/GCP/Azure.
 * Familiarity with probabilistic graphical models and Bayesian statistical modeling.
 * Familiarity with agile development methodologies and collaborative tools like Jira or Linear.
 * Excellent communication skills and ability to collaborate cross-functionally.
 * Self-starter mindset and excitement about applying ML to real-world business problems.
   
   

Great to have, but not required:


 * Advanced degree in Computer Science, Statistics, or a related quantitative field.
 * Familiarity with optimization techniques to balance the needs of multi-sided marketplaces.
 * Expertise using OCR to extract data from large PDF documents.
 * Previous experience working on a Marketplace tech product.
   
   

Benefits:


 * Full-time, salary position
 * Fully remote, work from anywhere in the US or Canada
 * Flexible paid time off and paid holidays
 * Phone and Internet monthly stipend
 * Equipment provided
 * Medical, dental, vision, disability insurance, and 401k available
   
   

Compensation:


 * Salary range $130,000-$160,000 based on experience and location
 * Eligible to participate in company bonus plan
   
   

E-Verify

This company participates in E-Verify, for more information view the Participation and Right to Work Posters.

Application Deadline:


 * June 29, 2024","Over 200 applicants","Full-time","Entry level","Engineering and Information Technology","Technology, Information and Internet"
"Machine Learning Engineer (NLP)","San Francisco Bay Area","2024-05-13","Deep Abacus","The company



 * Seed-stage AI startup led by industry veterans.
 * Transforming accounting through Generative-AI.
 * Seeking an exceptional AI Engineer.
 * Empower individuals and businesses in financial decision-making.



What you will do



 * Design and implement ML/DL models and NLP for accounting applications.
 * Architect core ML/DL components of the AI platform.
 * Fine-tune LLMs for specific application



What you will need to succeed



 * Extensive experience in ML/DL
 * 2+ years of product-based ML experience.
 * PhD in machine learning.
 * Proficiency in Python, Julia, or equivalent.
 * Experience with knowledge graphs or reasoning technologies.
 * Experience with decision trees, gradient boosting, and bandit algorithms
 * Experience with online learning algorithms.
 * Exposure to generative AI and LLMs","Over 200 applicants","Full-time","Mid-Senior level","Engineering and Science","Staffing and Recruiting"
