City,State,Latitude,Longitude,Population_estimate_2022,Population_2020,Change_population,Land_area,Population_density_2020
Richardson,Texas,32.9481789,-96.7297206,118802,119469,-0.56,28.6,4177
North Charleston,South Carolina,32.8546197,-79.9748103,118608,114852,3.27,77.6,1480
Cambridge,Massachusetts,42.3655767,-71.1040018,118488,118403,0.07,6.4,18500
Broken Arrow,Oklahoma,36.0185695,-95.79088214648036,117911,113540,3.85,63.0,1802
Clearwater,Florida,27.9658533,-82.8001026,117027,117292,-0.23,26.1,4494
West Jordan,Utah,40.6061337,-111.9395211,116664,116961,-0.25,32.3,3621
Evansville,Indiana,37.970495,-87.5715641,115749,117298,-1.32,47.4,2475
League City,Texas,29.5074538,-95.0949303,115418,114392,0.9,51.3,2230
Antioch,California,38.0049214,-121.805789,115264,115291,-0.02,29.2,3948
Manchester,New Hampshire,42.9956397,-71.4547891,115141,115644,-0.43,33.1,3494
High Point,North Carolina,35.9556924,-80.0053176,115067,114059,0.88,56.4,2022
Waterbury,Connecticut,41.5538091,-73.0438362,115016,114403,0.54,28.5,4014
Westminster,Colorado,39.8366528,-105.0372046,114533,116317,-1.53,31.6,3681
Richmond,California,37.9357576,-122.347748,114301,116448,-1.84,30.1,3869
Carlsbad,California,33.1580933,-117.3505966,114160,114746,-0.51,37.8,3036
Las Cruces,New Mexico,32.3140354,-106.779807,113888,111385,2.25,76.9,1448
Murrieta,California,33.560832,-117.210656,113783,110949,2.55,33.6,3302
Lowell,Massachusetts,42.6414437,-71.3085329,113608,115554,-1.68,13.6,8497
Provo,Utah,40.2337289,-111.6587085,113523,115162,-1.42,41.7,2762
Springfield,Illinois,39.7990175,-89.6439575,113273,114394,-0.98,61.1,1872
Elgin,Illinois,42.03726,-88.2810994,113177,114797,-1.41,38.0,3021
Odessa,Texas,31.8457149,-102.367687,112906,114428,-1.33,51.1,2239
Lansing,Michigan,42.7337712,-84.5553805,112537,112644,-0.09,39.1,2881
Pompano Beach,Florida,26.2378597,-80.1247667,112302,112046,0.23,24.0,4669
Beaumont,Texas,30.0860459,-94.1018461,112089,115282,-2.77,82.5,1397
Temecula,California,33.4946353,-117.1473661,111752,110003,1.59,37.3,2949
Gresham,Oregon,45.4997475,-122.4309766,111621,114247,-2.3,23.5,4862
Allen,Texas,33.1031744,-96.6705503,111551,104627,6.62,26.4,3963
Pueblo,Colorado,38.2544472,-104.609141,111456,111876,-0.38,55.4,2019
Everett,Washington,47.9793437,-122.2127011,111337,110629,0.64,33.2,3332
South Fulton,Georgia,33.5902659,-84.6712292,111158,107436,3.46,85.2,1261
Peoria,Illinois,40.6938609,-89.5891008,111021,113150,-1.88,48.0,2357
Nampa,Idaho,43.5737361,-116.559631,110951,100200,10.73,33.5,2991
Tuscaloosa,Alabama,33.2095614,-87.5675258,110602,99600,11.05,61.9,1609
Miami Gardens,Florida,25.9420377,-80.2456045,110497,111640,-1.02,18.2,6134
Santa Maria,California,34.9531295,-120.435857,110125,109707,0.38,22.8,4812
Downey,California,33.9404441,-118.1292846,109934,114355,-3.87,12.4,9222
Concord,North Carolina,35.4094178,-80.5800049,109896,105240,4.42,63.5,1657
Ventura,California,34.2783355,-119.293174,109527,110763,-1.12,21.9,5058
Costa Mesa,California,33.6633386,-117.903317,109521,111918,-2.14,15.8,7083
Sugar Land,Texas,29.6196787,-95.6349463,109414,111026,-1.45,40.5,2741
Menifee,California,33.6864432,-117.1770437,109399,102527,6.7,46.5,2205
Tyler,Texas,32.3512601,-95.3010624,109286,105995,3.1,57.5,1843
Sparks,Nevada,39.5404679,-119.7487235,109226,108445,0.72,36.4,2979
Greeley,Colorado,40.4233142,-104.7091322,109209,108795,0.38,48.9,2225
Rio Rancho,New Mexico,35.2702448,-106.6329806,108082,104046,3.88,103.4,1006
Sandy Springs,Georgia,33.9242688,-84.3785379,107763,108080,-0.29,37.7,2867
Dearborn,Michigan,42.3222599,-83.1763145,107710,109976,-2.06,24.2,4544
Jurupa Valley,California,33.9798472,-117.4515754,107609,105053,2.43,42.9,2449
Edison,New Jersey,40.518157,-74.4113926,107361,107588,-0.21,30.1,3574
Spokane Valley,Washington,47.6571104,-117.2613936,107325,102976,4.22,37.7,2731
Hillsboro,Oregon,45.5228939,-122.989827,107299,106447,0.8,25.7,4142
Davie,Florida,26.07441465,-80.28402569275804,106513,105691,0.78,34.9,3028
Green Bay,Wisconsin,44.5126379,-88.0125794,106095,107395,-1.21,45.5,2360
Centennial,Colorado,39.579155,-104.8769227,105865,108418,-2.35,29.7,3650
Buckeye,Arizona,33.3703197,-112.583776,105567,91502,15.37,393.0,233
Boulder,Colorado,40.0149856,-105.270545,105485,108250,-2.55,26.3,4116
Goodyear,Arizona,33.4073522,-112.3934809,105406,95294,10.61,191.3,498
El Monte,California,34.0751571,-118.036849,105312,109450,-3.78,9.6,11401
West Covina,California,34.0471735,-117.8963242650494,105013,109501,-4.1,16.0,6844
Brockton,Massachusetts,42.0834335,-71.0183787,104826,105643,-0.77,21.3,4960
New Braunfels,Texas,29.7028266,-98.1257348,104707,90403,15.82,45.2,2000
El Cajon,California,32.7947731,-116.962526,104414,106215,-1.7,14.5,7325
Edinburg,Texas,26.3013982,-98.1624501,104294,100243,4.04,44.7,2243
Renton,Washington,47.4799078,-122.2034496,104047,106785,-2.56,23.5,4544
Burbank,California,34.1812089,-118.307201,103920,107337,-3.18,17.3,6204
Inglewood,California,33.9562003,-118.353132,103621,107762,-3.84,9.1,11842
Rialto,California,34.1064001,-117.3703235,103545,104026,-0.46,24.1,4316
Lee's Summit,Missouri,38.9107156,-94.3821295,103465,101108,2.33,63.9,1582
Bend,Oregon,44.0581728,-121.3153096,103254,99178,4.11,33.6,2952
Woodbridge,New Jersey,40.5536918,-74.2823573,103229,103639,-0.4,23.3,4448
South Bend,Indiana,41.6833813,-86.2500066,103110,103453,-0.33,42.0,2463
Wichita Falls,Texas,33.9004572,-98.5020777,102664,102316,0.34,72.0,1421
St. George,Utah,37.104153,-113.5841313,102519,95342,7.53,78.5,1215
Fishers,Indiana,39.9555928,-86.0138729,101966,98977,3.02,35.6,2780
Carmel,Indiana,39.9784186,-86.1283681,101964,99757,2.21,49.1,2032
Vacaville,California,38.3565773,-121.9877444,101918,102386,-0.46,29.9,3424
Quincy,Massachusetts,42.2509914,-71.0037374,101727,101636,0.09,16.6,6123
Conroe,Texas,30.3118769,-95.4560512,101405,89956,12.73,72.0,1249
Chico,California,39.7284945,-121.8374777,101299,101475,-0.17,34.1,2976
San Mateo,California,37.5629997,-122.3253265,100984,105661,-4.43,12.1,8732
Lynn,Massachusetts,42.466763,-70.9494939,100891,101253,-0.36,10.7,9463
Albany,New York,42.6511674,-73.754968,100826,99224,1.61,21.4,4637
Hesperia,California,34.4263886,-117.3008784,100744,99818,0.93,72.7,1373
New Bedford,Massachusetts,41.6362152,-70.934205,100682,101079,-0.39,20.0,5054
Davenport,Iowa,41.5235808,-90.5770967,100486,101724,-1.22,63.8,1594
Daly City,California,37.6904826,-122.47267,100007,104901,-4.67,7.6,13803
